Grade,Subject,Unit,Question,Option_A,Option_B,Option_C,Option_D,Answer
9th,Computer Science,Unit 1: Computer Systems,What is the primary function of the ALU?,Store data,Perform arithmetic and logic,Control input/output,Manage memory,Perform arithmetic and logic
9th,Computer Science,Unit 1: Computer Systems,Which component holds instructions currently being executed?,Hard Drive,Cache,RAM,SSD,RAM
9th,Computer Science,Unit 1: Computer Systems,Which bus carries data between components?,Control bus,Data bus,Address bus,Power bus,Data bus
9th,Computer Science,Unit 1: Computer Systems,Which type of memory is non-volatile?,RAM,Cache,ROM,Registers,ROM
9th,Computer Science,Unit 1: Computer Systems,What does the control unit do?,Perform calculations,Decide program flow,Execute logic,Direct operations of the processor,Direct operations of the processor
9th,Computer Science,Unit 1: Computer Systems,Which storage is fastest?,HDD,SSD,RAM,Registers,Registers
9th,Computer Science,Unit 1: Computer Systems,Clock speed is measured in?,MBps,Hz,Volts,Cycles,Hz

10th,Computer Science,Unit 1: Computer Systems,What is the primary function of the ALU?,Store data,Perform arithmetic and logic,Control input/output,Manage memory,Perform arithmetic and logic
10th,Computer Science,Unit 1: Computer Systems,Which component holds instructions currently being executed?,Hard Drive,Cache,RAM,SSD,RAM
10th,Computer Science,Unit 1: Computer Systems,Which bus carries data between components?,Control bus,Data bus,Address bus,Power bus,Data bus
10th,Computer Science,Unit 1: Computer Systems,Which type of memory is non-volatile?,RAM,Cache,ROM,Registers,ROM
10th,Computer Science,Unit 1: Computer Systems,What does the control unit do?,Perform calculations,Decide program flow,Execute logic,Direct operations of the processor,Direct operations of the processor
10th,Computer Science,Unit 1: Computer Systems,Which storage is fastest?,HDD,SSD,RAM,Registers,Registers
10th,Computer Science,Unit 1: Computer Systems,Clock speed is measured in?,MBps,Hz,Volts,Cycles,Hz

11th,Comuter Science,Unit 1: Computer Systems,Clock speed is measured in?,MBps,Hz,Volts,Cycles,Hz

12th,Computer Science,Unit 1: Computer Systems,What is the primary function of the ALU?,Store data,Perform arithmetic and logic,Control input/output,Manage memory,Perform arithmetic and logic
12th,Computer Science,Unit 1: Computer Systems,Which component holds instructions currently being executed?,Hard Drive,Cache,RAM,SSD,RAM
12th,Computer Science,Unit 1: Computer Systems,Which bus carries data between components?,Control bus,Data bus,Address bus,Power bus,Data bus
